true,seamark:landmark:category,string,656,6663,28
true,noname,string,7521,272549,48
true,turn:lanes,string,8217,380967,4086
true,maxaxleload,string,1614,90722,160
true,railway:signal:direction,string,537,117776,14
true,artist_name,string,4107,27672,15292
true,maxspeed:source,string,1428,22628,729
true,lamp_mount,string,214,38718,40
true,bridge,string,59037,3430891,259
true,not_served_by,string,42,731,280
true,hov:lanes,string,161,3696,78
true,kerb,string,2822,84087,77
true,carriage,string,352,5705,13
true,subsea,string,106,1351,15
true,addr:city:de,string,468,117508,157
true,zone:traffic,string,3077,91996,46
true,pumping_station,string,305,922,14
true,shade,string,61,637,12
true,agricultural,string,4980,54354,67
true,windmill:disused,string,66,216,2
true,openGeoDB:postal_codes,string,2521,21582,8185
true,maxheight,string,10651,109918,1748
true,seamark:topmark:shape,string,488,37866,30
true,seamark:beacon_special_purpose:category,string,94,4638,25
true,seamark:light:range,string,913,16474,264
true,asset_ref,string,171,8456,8241
true,parking:condition:right,string,1535,14151,76
true,mooring,string,2070,28769,61
true,alt_name:en,string,1914,26451,11286
true,canoe,string,1143,8815,24
true,name:io,string,217,766,446
true,contact:instagram,string,483,6482,1503
true,seamark:light:colour,string,1308,38228,24
true,smoking:outside,string,284,628,5
true,is_in:country_code,string,4464,341569,222
true,seamark:light:category,string,254,5281,38
true,openGeoDB:community_identification_number,string,2506,23484,21916
true,fuel:electricity,string,1002,1735,6
true,ncn_ref,string,1434,12173,255
true,exit,string,374,9723,50
true,wheelchair:description,string,7061,52444,30924
true,street_cabinet,string,716,15796,89
true,ford,string,10360,259013,64
true,heritage:operator,string,3177,89570,309
true,openGeoDB:loc_id,string,2558,24254,24088
true,4wd_only,string,688,10333,14
true,gluten_free,string,63,109,6
true,feeding:for,string,68,505,22
true,width,string,51462,1575403,4371
true,water_point,string,231,1231,8
true,openGeoDB:auto_update,string,2463,20796,8
true,alt_name:ar,string,171,1732,1023
true,from,string,6871,123070,58261
true,naturbase:iid,string,81,1196,954
true,river:waterway_distance,string,329,8367,4561
true,generator:source,string,7508,403118,201
true,fuel:biogas,string,1019,1562,6
true,change:lanes,string,1491,25679,428
true,seamark:beacon_lateral:colour,string,298,16345,32
true,recycling:glass,string,13240,71773,18
true,fuel:adblue,string,438,1097,7
true,maxspeed:variable,string,503,12689,23
true,step_count,string,6181,67419,586
true,managed,string,229,5331,11
true,map_size,string,3850,25791,119
true,seamark:small_craft_facility:category,string,654,7686,84
true,brewery,string,1636,4520,1666
true,female,string,3443,21272,42
true,artwork_subject,string,119,562,248
true,bollard,string,2338,13021,86
true,diameter,string,556,11869,698
true,grades,string,197,4080,200
true,military,string,6879,70021,287
true,junction,string,21879,574647,215
true,capacity:disabled,string,8450,60776,96
true,caravans,string,1359,4184,33
true,tunnel,string,35444,1675938,258
true,seamark:fog_signal:period,string,96,480,35
true,TODO,string,541,2501,365
true,switch,string,131,18160,286
true,overtaking,string,2650,52019,24
true,obstacle,string,456,5060,56
true,seamark:distance_mark:distance,string,121,9209,2043
true,goods,string,4529,37800,55
true,theatre:genre,string,416,819,75
true,bicycle_parking,string,8153,115503,349
true,name:it,string,4578,61129,30268
true,country,string,1874,14239,529
true,species:de,string,573,176623,1357
true,seamark:landmark:conspicuity,string,413,2683,3
true,historic:era,string,49,403,48
true,city_limit,string,71,612,15
true,bin,string,4284,81054,24
true,lock_ref,string,113,3599,456
true,wheelchair,string,58399,1282257,218
true,tpuk_ref,string,69,126,125
true,clothes,string,2929,15443,1046
true,addr:postcode,string,219028,53879731,877215
true,destination:int_ref,string,255,3430,288
true,subject:wikidata,string,197,2555,1146
true,recycling:plastic,string,4330,18931,11
true,addr:street:name,string,611,609841,5289
true,recycling:cans,string,7300,29764,4
true,addr:housenumber,string,254210,79408859,1059216
true,denotation,string,4361,731955,254
true,service:bicycle:second_hand,string,842,1536,4
true,religion,string,66611,1047611,765
true,KSJ2:segment,string,92,2759,816
true,contact:facebook,string,2216,29034,17062
true,indoor,string,4298,157112,117
true,internet_access,string,58513,179392,317
